schoolnr pupilNR_new langPOST ses IQ_verb sex Minority denomina sch_ses sch_iqv sch_min
 52.00  784.00  39.00   2.27   1.63   1.00   0.00   3.00  -5.468  0.1517  0.037
 52.00  785.00  25.00  17.27  -0.87   0.00   0.00   3.00  -5.468  0.1517  0.037
 52.00  786.00  49.00  15.27   2.63   0.00   0.00   3.00  -5.468  0.1517  0.037
 52.00  787.00  34.00  -9.73  -0.87   0.00   0.00   3.00  -5.468  0.1517  0.037
 52.00  788.00  36.00  -7.73   3.63   0.00   0.00   3.00  -5.468  0.1517  0.037
 52.00  789.00  19.00 -14.73  -1.37   0.00   0.00   3.00  -5.468  0.1517  0.037
 52.00  790.00  48.00   0.27  -0.87   0.00   0.00   3.00  -5.468  0.1517  0.037
 52.00  791.00  22.00 -12.73  -0.37   0.00   0.00   3.00  -5.468  0.1517  0.037
 52.00  792.00  47.00   7.27   5.13   0.00   0.00   3.00  -5.468  0.1517  0.037
 52.00  793.00  47.00 -12.73   0.63   1.00   0.00   3.00  -5.468  0.1517  0.037
 52.00  794.00  44.00  -7.73   0.13   1.00   0.00   3.00  -5.468  0.1517  0.037
 52.00  795.00  35.00  -7.73   0.13   1.00   0.00   3.00  -5.468  0.1517  0.037
 52.00  796.00  43.00   5.27   5.13   1.00   0.00   3.00  -5.468  0.1517  0.037
 52.00  797.00  38.00 -17.73  -4.87   1.00   0.00   3.00  -5.468  0.1517  0.037
 52.00  798.00  44.00 -12.73   1.63   1.00   0.00   3.00  -5.468  0.1517  0.037
 52.00  799.00  37.00  -2.73  -0.37   1.00   0.00   3.00  -5.468  0.1517  0.037
 52.00  800.00  44.00   7.27   1.13   1.00   0.00   3.00  -5.468  0.1517  0.037
 52.00  801.00  32.00 -12.73  -0.87   1.00   0.00   3.00  -5.468  0.1517  0.037
 52.00  802.00  42.00  12.27   1.63   1.00   0.00   3.00  -5.468  0.1517  0.037
 53.00  803.00  45.00   2.27   0.13   1.00   0.00   2.00  -2.394  0.8582  0.143
 53.00  804.00  34.00  -6.73  -1.37   1.00   0.00   2.00  -2.394  0.8582  0.143
 53.00  806.00  42.00  -3.73   0.13   1.00   0.00   2.00  -2.394  0.8582  0.143
 53.00  808.00  42.00  -1.73   1.13   1.00   0.00   2.00  -2.394  0.8582  0.143
 53.00  809.00  42.00  -6.73  -0.37   0.00   0.00   2.00  -2.394  0.8582  0.143
 53.00  810.00  36.00  -6.73  -1.87   1.00   0.00   2.00  -2.394  0.8582  0.143
 53.00  811.00  50.00  -1.73   1.13   1.00   0.00   2.00  -2.394  0.8582  0.143
 53.00  812.00  43.00  -1.73  -0.37   0.00   0.00   2.00  -2.394  0.8582  0.143
 53.00  813.00  46.00  -3.73  -0.37   0.00   0.00   2.00  -2.394  0.8582  0.143
 53.00  814.00  43.00   9.27  -0.37   1.00   1.00   2.00  -2.394  0.8582  0.143
 53.00  815.00  53.00   0.27   5.63   0.00   0.00   2.00  -2.394  0.8582  0.143
 53.00  816.00  52.00 -10.73   1.63   0.00   0.00   2.00  -2.394  0.8582  0.143
 53.00  817.00  46.00  12.27   3.63   0.00   1.00   2.00  -2.394  0.8582  0.143
 53.00  818.00  57.00   0.27   1.63   1.00   0.00   2.00  -2.394  0.8582  0.143
 53.00  819.00  51.00   4.27   1.63   0.00   1.00   2.00  -2.394  0.8582  0.143
 53.00  820.00  49.00  -1.73   1.63   0.00   0.00   2.00  -2.394  0.8582  0.143
 53.00  821.00  51.00  -3.73   2.63   0.00   0.00   2.00  -2.394  0.8582  0.143
 53.00  822.00  51.00  -7.73   3.13   0.00   0.00   2.00  -2.394  0.8582  0.143
 53.00  823.00  39.00  -7.73   0.13   0.00   0.00   2.00  -2.394  0.8582  0.143
 54.00  825.00  36.00  15.27  -0.87   0.00   0.00   1.00  12.804  1.1009  0.000
 54.00  826.00  42.00  22.27   0.63   1.00   0.00   1.00  12.804  1.1009  0.000
 54.00  827.00  50.00   9.27  -0.37   1.00   0.00   1.00  12.804  1.1009  0.000
 54.00  828.00  52.00  20.27   0.13   1.00   0.00   1.00  12.804  1.1009  0.000
 54.00  829.00  46.00   2.27  -0.87   1.00   0.00   1.00  12.804  1.1009  0.000
 54.00  830.00  55.00  22.27   3.63   1.00   0.00   1.00  12.804  1.1009  0.000
 54.00  831.00  50.00  12.27   0.63   1.00   0.00   1.00  12.804  1.1009  0.000
 54.00  832.00  42.00  17.27  -0.37   0.00   0.00   1.00  12.804  1.1009  0.000
 54.00  833.00  54.00  22.27   2.63   0.00   0.00   1.00  12.804  1.1009  0.000
 54.00  834.00  50.00  12.27   3.63   1.00   0.00   1.00  12.804  1.1009  0.000
 54.00  835.00  53.00  22.27   3.13   0.00   0.00   1.00  12.804  1.1009  0.000
 54.00  836.00  49.00  12.27   1.13   1.00   0.00   1.00  12.804  1.1009  0.000
 54.00  837.00  49.00  12.27   1.63   0.00   0.00   1.00  12.804  1.1009  0.000
 54.00  838.00  51.00  22.27  -0.37   1.00   0.00   1.00  12.804  1.1009  0.000
 54.00  839.00  54.00  22.27   3.63   0.00   0.00   1.00  12.804  1.1009  0.000
 54.00  840.00  53.00  12.27   1.63   1.00   0.00   1.00  12.804  1.1009  0.000
 54.00  841.00  46.00  15.27   1.13   0.00   0.00   1.00  12.804  1.1009  0.000
 54.00  842.00  34.00   5.27  -1.37   0.00   0.00   1.00  12.804  1.1009  0.000
 54.00  843.00  47.00  15.27   1.13   1.00   0.00   1.00  12.804  1.1009  0.000
 54.00  844.00  42.00 -10.73   0.13   0.00   0.00   1.00  12.804  1.1009  0.000
 54.00  845.00  51.00  22.27   6.13   1.00   0.00   1.00  12.804  1.1009  0.000
 54.00  846.00  44.00  15.27   1.13   0.00   0.00   1.00  12.804  1.1009  0.000
 54.00  847.00  36.00  -7.73   1.13   1.00   0.00   1.00  12.804  1.1009  0.000
 54.00  848.00  40.00  -7.73   1.63   0.00   0.00   1.00  12.804  1.1009  0.000
 54.00  849.00  50.00  17.27   4.63   1.00   0.00   1.00  12.804  1.1009  0.000
 54.00  850.00  23.00  17.27  -1.37   0.00   0.00   1.00  12.804  1.1009  0.000
 54.00  851.00  51.00  22.27   1.13   1.00   0.00   1.00  12.804  1.1009  0.000
 54.00  852.00  45.00  17.27  -0.37   1.00   0.00   1.00  12.804  1.1009  0.000
 54.00  853.00  44.00  15.27  -0.37   0.00   0.00   1.00  12.804  1.1009  0.000
 54.00  854.00  34.00  10.27  -0.37   1.00   0.00   1.00  12.804  1.1009  0.000
 54.00  855.00  48.00   7.27   0.13   1.00   0.00   1.00  12.804  1.1009  0.000
 55.00  856.00  37.00  12.27  -4.87   0.00   0.00   2.00   7.806  0.1498  0.000
 55.00  857.00  39.00   0.27  -1.37   0.00   0.00   2.00   7.806  0.1498  0.000
 55.00  858.00  54.00  22.27   3.63   1.00   0.00   2.00   7.806  0.1498  0.000
 55.00  859.00  46.00   2.27   0.63   0.00   0.00   2.00   7.806  0.1498  0.000
 55.00  860.00  54.00  17.27   2.63   1.00   0.00   2.00   7.806  0.1498  0.000
 55.00  861.00  44.00   2.27  -0.87   0.00   0.00   2.00   7.806  0.1498  0.000
 55.00  862.00  40.00   2.27   0.63   1.00   0.00   2.00   7.806  0.1498  0.000
 55.00  863.00  31.00   2.27  -1.87   1.00   0.00   2.00   7.806  0.1498  0.000
 55.00  864.00  46.00  22.27  -0.87   0.00   0.00   2.00   7.806  0.1498  0.000
 55.00  865.00  23.00  -7.73  -2.37   1.00   0.00   2.00   7.806  0.1498  0.000
 55.00  866.00  52.00  22.27   4.13   1.00   0.00   2.00   7.806  0.1498  0.000
 55.00  867.00  44.00  10.27   1.63   0.00   0.00   2.00   7.806  0.1498  0.000
 55.00  868.00  40.00  17.27   1.13   0.00   0.00   2.00   7.806  0.1498  0.000
 55.00  869.00  37.00   2.27   0.63   0.00   0.00   2.00   7.806  0.1498  0.000
 55.00  870.00  38.00  -0.73  -0.37   0.00   0.00   2.00   7.806  0.1498  0.000
 55.00  871.00  34.00  -7.73  -4.87   1.00   0.00   2.00   7.806  0.1498  0.000
 55.00  872.00  51.00  17.27   5.63   0.00   0.00   2.00   7.806  0.1498  0.000
 55.00  873.00  40.00  15.27  -2.37   0.00   0.00   2.00   7.806  0.1498  0.000
 55.00  874.00  39.00   2.27   0.13   1.00   0.00   2.00   7.806  0.1498  0.000
 55.00  875.00  23.00 -17.73   0.63   0.00   0.00   2.00   7.806  0.1498  0.000
 55.00  876.00  39.00   2.27  -1.37   0.00   0.00   2.00   7.806  0.1498  0.000
 55.00  877.00  44.00  12.27   3.63   1.00   0.00   2.00   7.806  0.1498  0.000
 55.00  878.00  42.00  12.27   0.63   1.00   0.00   2.00   7.806  0.1498  0.000
 55.00  879.00  40.00   2.27   0.13   0.00   0.00   2.00   7.806  0.1498  0.000
 55.00  880.00  41.00  22.27   0.13   1.00   0.00   2.00   7.806  0.1498  0.000
 55.00  881.00  51.00  17.27  -0.87   0.00   0.00   2.00   7.806  0.1498  0.000
 55.00  882.00  43.00  12.27   0.63   1.00   0.00   2.00   7.806  0.1498  0.000
 55.00  883.00  33.00   2.27   1.13   0.00   0.00   2.00   7.806  0.1498  0.000
 55.00  884.00  42.00   7.27  -1.37   1.00   0.00   2.00   7.806  0.1498  0.000
 55.00  885.00  48.00   7.27   0.13   0.00   0.00   2.00   7.806  0.1498  0.000
 57.00  902.00  33.00  -7.73   0.13   0.00   1.00   1.00  11.619  0.0947  0.111
 57.00  903.00  33.00   2.27   0.13   0.00   0.00   1.00  11.619  0.0947  0.111
 57.00  904.00  33.00  12.27  -0.37   0.00   0.00   1.00  11.619  0.0947  0.111
 57.00  905.00  39.00  12.27   1.13   0.00   0.00   1.00  11.619  0.0947  0.111
 57.00  906.00  47.00  12.27   0.13   0.00   0.00   1.00  11.619  0.0947  0.111
 57.00  907.00  42.00   2.27   1.13   0.00   0.00   1.00  11.619  0.0947  0.111
 57.00  908.00  44.00  22.27   1.63   0.00   0.00   1.00  11.619  0.0947  0.111
 57.00  909.00  50.00  12.27   2.13   0.00   0.00   1.00  11.619  0.0947  0.111
 57.00  910.00  33.00   2.27  -0.37   0.00   0.00   1.00  11.619  0.0947  0.111
 57.00  911.00  41.00  12.27   1.13   0.00   0.00   1.00  11.619  0.0947  0.111
 57.00  912.00  45.00  12.27  -3.37   1.00   0.00   1.00  11.619  0.0947  0.111
 57.00  913.00  40.00  17.27  -0.87   1.00   0.00   1.00  11.619  0.0947  0.111
 57.00  914.00  52.00   7.27   1.13   1.00   0.00   1.00  11.619  0.0947  0.111
 57.00  915.00  45.00  17.27  -1.37   1.00   0.00   1.00  11.619  0.0947  0.111
 57.00  916.00  55.00  22.27   3.13   1.00   0.00   1.00  11.619  0.0947  0.111
 57.00  917.00  35.00  12.27  -0.37   1.00   1.00   1.00  11.619  0.0947  0.111
 57.00  918.00  54.00  22.27  -0.37   1.00   0.00   1.00  11.619  0.0947  0.111
 57.00  919.00  42.00  22.27   3.63   1.00   0.00   1.00  11.619  0.0947  0.111
 57.00  920.00  41.00  22.27   0.13   1.00   1.00   1.00  11.619  0.0947  0.111
 57.00  921.00  45.00  12.27  -0.87   1.00   0.00   1.00  11.619  0.0947  0.111
 57.00  922.00  29.00  12.27  -1.87   1.00   0.00   1.00  11.619  0.0947  0.111
 57.00  923.00  26.00   7.27  -4.37   1.00   0.00   1.00  11.619  0.0947  0.111
 57.00  924.00  53.00   2.27   3.63   1.00   0.00   1.00  11.619  0.0947  0.111
 57.00  925.00  41.00   2.27  -0.87   1.00   0.00   1.00  11.619  0.0947  0.111
 58.00  927.00  30.00  -6.73   0.63   0.00   0.00   5.00   8.339  0.4189  0.095
 58.00  929.00  42.00   0.27  -0.87   1.00   0.00   5.00   8.339  0.4189  0.095
 58.00  930.00  23.00  -7.73  -3.87   1.00   0.00   5.00   8.339  0.4189  0.095
 58.00  932.00  41.00  16.27   0.13   0.00   0.00   5.00   8.339  0.4189  0.095
 58.00  933.00  31.00  -8.73   0.13   1.00   0.00   5.00   8.339  0.4189  0.095
 58.00  935.00  38.00   4.27   1.13   1.00   0.00   5.00   8.339  0.4189  0.095
 58.00  936.00  26.00  18.27  -0.87   1.00   0.00   5.00   8.339  0.4189  0.095
 58.00  938.00  40.00  21.27  -0.87   0.00   0.00   5.00   8.339  0.4189  0.095
 58.00  940.00  46.00  13.27   4.13   1.00   0.00   5.00   8.339  0.4189  0.095
 58.00  941.00  41.00  12.27   0.13   0.00   0.00   5.00   8.339  0.4189  0.095
 58.00  942.00  46.00   6.27  -1.37   0.00   1.00   5.00   8.339  0.4189  0.095
 58.00  943.00  50.00  15.27   3.63   1.00   0.00   5.00   8.339  0.4189  0.095
 58.00  944.00  51.00  15.27   1.63   1.00   0.00   5.00   8.339  0.4189  0.095
 58.00  945.00  53.00  12.27   2.63   1.00   0.00   5.00   8.339  0.4189  0.095
 58.00  946.00  53.00  13.27   5.63   1.00   0.00   5.00   8.339  0.4189  0.095
 60.00  949.00  38.00   3.27  -1.87   0.00   0.00   1.00   6.811 -0.4438  0.143
 60.00  951.00  22.00  22.27  -2.37   1.00   1.00   1.00   6.811 -0.4438  0.143
 60.00  952.00  41.00   5.27   0.63   1.00   0.00   1.00   6.811 -0.4438  0.143
 60.00  953.00  31.00   5.27  -0.37   0.00   0.00   1.00   6.811 -0.4438  0.143
 60.00  954.00  48.00  -2.73   1.63   0.00   0.00   1.00   6.811 -0.4438  0.143
 60.00  955.00  26.00   5.27  -3.87   0.00   0.00   1.00   6.811 -0.4438  0.143
 60.00  956.00  36.00  12.27   1.13   0.00   0.00   1.00   6.811 -0.4438  0.143
 60.00  957.00  47.00  22.27   0.13   1.00   0.00   1.00   6.811 -0.4438  0.143
 60.00  958.00  48.00   9.27   2.13   0.00   0.00   1.00   6.811 -0.4438  0.143
 60.00  959.00  52.00  12.27   2.13   1.00   0.00   1.00   6.811 -0.4438  0.143
 60.00  960.00  37.00  -7.73   0.13   1.00   0.00   1.00   6.811 -0.4438  0.143
 61.00  974.00  33.00  -1.73   2.63   1.00   0.00   2.00  -0.102  0.3183  0.074
 61.00  981.00  45.00  -4.73  -0.37   0.00   0.00   2.00  -0.102  0.3183  0.074
 61.00  982.00  19.00 -17.73  -4.37   0.00   1.00   2.00  -0.102  0.3183  0.074
 61.00  983.00  50.00  -2.73   3.13   1.00   0.00   2.00  -0.102  0.3183  0.074
 61.00  984.00  39.00   2.27  -2.87   0.00   0.00   2.00  -0.102  0.3183  0.074
 61.00  985.00  40.00  -0.73   3.13   0.00   0.00   2.00  -0.102  0.3183  0.074
 61.00  986.00  29.00  -7.73  -3.87   1.00   0.00   2.00  -0.102  0.3183  0.074
 61.00  987.00  49.00  22.27  -1.87   1.00   0.00   2.00  -0.102  0.3183  0.074
 61.00  988.00  51.00   2.27   3.13   1.00   0.00   2.00  -0.102  0.3183  0.074
 61.00  989.00  56.00   9.27   4.13   1.00   0.00   2.00  -0.102  0.3183  0.074
 61.00  990.00  41.00 -17.73  -0.37   1.00   0.00   2.00  -0.102  0.3183  0.074
 61.00  991.00  27.00  -9.73   1.13   0.00   0.00   2.00  -0.102  0.3183  0.074
 61.00  992.00  31.00 -17.73  -1.37   1.00   1.00   2.00  -0.102  0.3183  0.074
 61.00  993.00  48.00  15.27   0.63   1.00   0.00   2.00  -0.102  0.3183  0.074
 61.00  994.00  40.00   9.27   0.13   0.00   0.00   2.00  -0.102  0.3183  0.074
 61.00  995.00  33.00  -0.73  -0.87   1.00   0.00   2.00  -0.102  0.3183  0.074
 61.00  996.00  38.00   2.27  -0.37   0.00   0.00   2.00  -0.102  0.3183  0.074
 61.00  997.00  40.00  -2.73  -1.87   1.00   0.00   2.00  -0.102  0.3183  0.074
 61.00  998.00  39.00  -4.73  -1.37   0.00   0.00   2.00  -0.102  0.3183  0.074
 61.00  999.00  43.00  -2.73   2.63   1.00   0.00   2.00  -0.102  0.3183  0.074
 61.00 1000.00  46.00   2.27   1.63   0.00   0.00   2.00  -0.102  0.3183  0.074
 62.00 1002.00  51.00  -2.73   4.13   0.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1003.00  47.00  22.27  -1.37   1.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1004.00  49.00  12.27   5.63   1.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1005.00  43.00  22.27   1.63   0.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1006.00  43.00   2.27   0.63   1.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1007.00  53.00   2.27   2.63   0.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1008.00  40.00  17.27   0.13   0.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1009.00  53.00  22.27   0.63   1.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1010.00  48.00   2.27   1.63   0.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1011.00  36.00   2.27   2.13   0.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1012.00  50.00   2.27   0.13   0.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1013.00  54.00   2.27   5.63   1.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1014.00  42.00  12.27   0.13   1.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1015.00  51.00  -7.73   1.13   0.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1016.00  43.00  -7.73  -0.37   0.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1017.00  51.00  12.27   4.13   0.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1018.00  53.00  22.27   5.63   0.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1019.00  49.00  22.27   2.63   1.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1020.00  41.00   2.27  -0.37   1.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1021.00  44.00   2.27  -0.37   1.00   0.00   3.00   8.545  1.6786  0.000
 62.00 1022.00  41.00  22.27   1.13   0.00   0.00   3.00   8.545  1.6786  0.000
 64.00 1023.00  36.00  -7.73  -1.87   1.00   0.00   1.00   3.227  0.2522  0.091
 64.00 1024.00  36.00  -2.73  -1.37   0.00   0.00   1.00   3.227  0.2522  0.091
 64.00 1025.00  46.00  -4.73   0.63   1.00   0.00   1.00   3.227  0.2522  0.091
 64.00 1027.00  27.00   6.27   1.63   0.00   0.00   1.00   3.227  0.2522  0.091
 64.00 1028.00  41.00   3.27   0.13   0.00   0.00   1.00   3.227  0.2522  0.091
 64.00 1029.00  39.00  10.27  -0.37   0.00   0.00   1.00   3.227  0.2522  0.091
 64.00 1030.00  47.00   9.27  -0.87   0.00   0.00   1.00   3.227  0.2522  0.091
 64.00 1031.00  41.00   0.27  -1.87   1.00   0.00   1.00   3.227  0.2522  0.091
 64.00 1032.00  37.00   1.27   1.13   0.00   0.00   1.00   3.227  0.2522  0.091
 64.00 1033.00  26.00 -16.73  -2.37   0.00   1.00   1.00   3.227  0.2522  0.091
 64.00 1034.00  44.00 -10.73   0.63   1.00   0.00   1.00   3.227  0.2522  0.091
 64.00 1035.00  43.00  -8.73  -1.87   0.00   0.00   1.00   3.227  0.2522  0.091
 64.00 1036.00  44.00  17.27   1.13   1.00   0.00   1.00   3.227  0.2522  0.091
 64.00 1037.00  34.00 -16.73  -1.37   1.00   1.00   1.00   3.227  0.2522  0.091
 64.00 1038.00  47.00  17.27   1.63   1.00   0.00   1.00   3.227  0.2522  0.091
 64.00 1039.00  46.00  15.27   0.63   1.00   0.00   1.00   3.227  0.2522  0.091
 64.00 1040.00  50.00  11.27   1.13   1.00   0.00   1.00   3.227  0.2522  0.091
 64.00 1041.00  52.00   3.27   1.13   0.00   0.00   1.00   3.227  0.2522  0.091
 64.00 1042.00  56.00  18.27   1.63   1.00   0.00   1.00   3.227  0.2522  0.091
 64.00 1043.00  52.00  13.27   2.13   1.00   0.00   1.00   3.227  0.2522  0.091
 64.00 1044.00  51.00  17.27   3.63   0.00   0.00   1.00   3.227  0.2522  0.091
 65.00 1045.00  57.00  -9.73   3.13   0.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1046.00  51.00   2.27  -0.87   0.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1047.00  43.00  -2.73  -1.87   0.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1048.00  43.00 -14.73   4.13   0.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1049.00  43.00  15.27   0.63   0.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1050.00  43.00 -12.73   0.13   0.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1051.00  54.00  15.27  -0.37   0.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1052.00  33.00 -14.73  -2.37   1.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1053.00  55.00   9.27   2.63   0.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1054.00  47.00  12.27   1.63   0.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1055.00  36.00   5.27  -0.37   1.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1056.00  55.00  22.27   0.63   1.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1057.00  41.00 -17.73   0.13   0.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1058.00  54.00   0.27   0.13   1.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1059.00  50.00   9.27   2.63   1.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1060.00  54.00   9.27  -0.37   1.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1061.00  47.00   7.27   0.13   0.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1062.00  41.00 -14.73   0.13   0.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1063.00  50.00   2.27   1.63   0.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1064.00  43.00   2.27   1.63   1.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1065.00  50.00   2.27  -0.37   1.00   0.00   4.00   2.045  0.7013  0.000
 65.00 1066.00  52.00  17.27   2.63   1.00   0.00   4.00   2.045  0.7013  0.000
 66.00 1067.00  32.00 -10.73  -2.87   0.00   0.00   3.00   2.909  0.3604  0.000
 66.00 1068.00  52.00  12.27   2.13   0.00   0.00   3.00   2.909  0.3604  0.000
 66.00 1069.00  21.00 -10.73  -1.37   0.00   0.00   3.00   2.909  0.3604  0.000
 66.00 1070.00  36.00   2.27  -0.87   1.00   0.00   3.00   2.909  0.3604  0.000
 66.00 1071.00  49.00   9.27  -0.87   1.00   0.00   3.00   2.909  0.3604  0.000
 66.00 1072.00  37.00   5.27  -0.87   1.00   0.00   3.00   2.909  0.3604  0.000
 66.00 1073.00  28.00   5.27  -1.37   1.00   0.00   3.00   2.909  0.3604  0.000
 66.00 1074.00  50.00   9.27   4.63   1.00   0.00   3.00   2.909  0.3604  0.000
 66.00 1075.00  47.00   2.27   2.13   0.00   0.00   3.00   2.909  0.3604  0.000
 66.00 1076.00  35.00   2.27  -0.37   0.00   0.00   3.00   2.909  0.3604  0.000
 66.00 1077.00  52.00   5.27   3.63   0.00   0.00   3.00   2.909  0.3604  0.000
 67.00 1078.00  52.00   9.27   3.63   1.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1079.00  39.00  -7.73  -0.87   0.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1080.00  25.00  -7.73   0.13   0.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1081.00  25.00  -0.73  -1.37   0.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1082.00  38.00   2.27   1.13   1.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1083.00  31.00  -4.73  -0.37   0.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1084.00  26.00 -10.73  -2.87   0.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1085.00  35.00  -4.73   0.63   1.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1086.00  29.00   9.27   0.63   0.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1087.00  32.00   2.27  -2.37   0.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1088.00  34.00  -0.73   1.13   0.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1089.00  51.00  12.27   1.63   1.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1090.00  47.00   2.27   3.13   1.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1091.00  39.00   5.27   3.63   0.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1092.00  39.00  -0.73   1.13   1.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1093.00  27.00  15.27  -0.37   0.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1094.00  45.00  12.27   4.13   1.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1095.00  32.00  -4.73  -1.87   0.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1096.00  41.00  -0.73  -1.37   1.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1097.00  38.00   0.27  -1.37   1.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1098.00  40.00   9.27   2.13   1.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1099.00  39.00  -7.73   4.13   0.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1100.00  29.00   2.27  -2.37   1.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1101.00  40.00  -7.73  -0.87   1.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1102.00  32.00  12.27  -1.37   1.00   0.00   3.00   1.080  0.3447  0.000
 67.00 1103.00  17.00  -7.73  -0.87   1.00   0.00   3.00   1.080  0.3447  0.000
 68.00 1105.00  50.00  -7.73   3.13   1.00   0.00   3.00  -7.727  0.8951  0.000
 68.00 1106.00  38.00  -9.73   1.63   0.00   0.00   3.00  -7.727  0.8951  0.000
 68.00 1107.00  47.00  -7.73   2.13   0.00   0.00   3.00  -7.727  0.8951  0.000
 68.00 1108.00  41.00  -4.73   3.13   0.00   0.00   3.00  -7.727  0.8951  0.000
 68.00 1109.00  50.00  -7.73   2.63   1.00   0.00   3.00  -7.727  0.8951  0.000
 68.00 1110.00  38.00  -2.73  -0.37   1.00   0.00   3.00  -7.727  0.8951  0.000
 68.00 1111.00  47.00 -12.73   1.63   1.00   0.00   3.00  -7.727  0.8951  0.000
 68.00 1112.00  27.00  -9.73  -0.87   1.00   0.00   3.00  -7.727  0.8951  0.000
 68.00 1113.00  42.00  -7.73   1.13   0.00   0.00   3.00  -7.727  0.8951  0.000
 68.00 1114.00  27.00 -12.73  -1.37   0.00   0.00   3.00  -7.727  0.8951  0.000
 68.00 1115.00  43.00  -4.73   0.13   1.00   0.00   3.00  -7.727  0.8951  0.000
 68.00 1116.00  43.00  -4.73   1.63   1.00   0.00   3.00  -7.727  0.8951  0.000
 68.00 1117.00  39.00  -7.73   0.63   1.00   0.00   3.00  -7.727  0.8951  0.000
 68.00 1118.00  43.00  -9.73  -2.37   1.00   0.00   3.00  -7.727  0.8951  0.000
 68.00 1119.00  53.00   2.27   5.13   0.00   0.00   3.00  -7.727  0.8951  0.000
 68.00 1120.00  54.00  -2.73   2.13   0.00   0.00   3.00  -7.727  0.8951  0.000
 68.00 1121.00  47.00 -12.73   2.63   1.00   0.00   3.00  -7.727  0.8951  0.000
 68.00 1122.00  37.00  -7.73  -3.37   1.00   0.00   3.00  -7.727  0.8951  0.000
 68.00 1123.00  40.00 -12.73   1.63   0.00   0.00   3.00  -7.727  0.8951  0.000
 68.00 1124.00  27.00  -7.73  -1.37   0.00   0.00   3.00  -7.727  0.8951  0.000
 69.00 1125.00  41.00  -8.73   2.13   1.00   0.00   3.00  -4.318  0.8071  0.000
 69.00 1126.00  42.00  -8.73   4.13   1.00   0.00   3.00  -4.318  0.8071  0.000
